id,to_Word_id,Position,Value,Gloss,Part_of_Speech
72,39,1,"nak’ila",little.finger,n3
73,40,1,"yoł",be,v
74,40,2,-asi,-RES.PRT,-vsuf
75,41,1,kid,girl,n2
76,42,1,y-,II-,pref-
77,42,2,odi,do,v
78,42,3,-r,-CAUS,-vsuf
79,42,4,"-ƛ",-OPT,-vsuf
80,42,5,"-ƛin",-QUOT,-suf
81,43,1,"łarašaw",pregnant,adj
82,43,2,-ni,-DEF,-suf
83,44,1,"ɣˤanabi",woman,n2
84,44,2,-s,-GEN1,-nsuf
85,45,1,"maduhalłi",neighbourhood,n4
86,45,2,-q,-POSS.ESS,-nsuf
87,45,3,-tow,-EMPH,-suf
88,46,1,esiw,brother,n1
89,46,2,-s,-GEN1,-nsuf
90,47,1,kid,daughter,n2
91,48,1,zow,be.NPRS,v
92,48,2,-n,-PST.UNW,-vsuf
93,49,1,xediw,husband,n1
94,49,2,-s,-GEN1,-nsuf
95,50,1,zulmu,tyranny,n3
96,50,2,-n,-TOP,-suf
97,51,1,"č’alʕizi",harass,comp
98,52,1,b-,III-,pref-
99,52,2,oq,become,v
100,52,3,-n,-PFV.CVB,-vsuf
101,53,1,yedu,DEM2.IISG,pron
102,54,1,esiw,brother,n1
103,54,2,-z,-GEN2,-nsuf
104,55,1,kid,daughter,n2
105,55,2,"-däɣor",-APUD.VERS,-nsuf
106,56,1,y-,II-,pref-
107,56,2,"ik’i",go,v
108,56,3,-n,-PST.UNW,-vsuf
109,57,1,"sidaquł",one.day,adv
110,58,1,"yiła",DEM2.IISG.OBL,pron
111,58,2,-r,-LAT,-nsuf
112,59,1,mesed,gold,n3
113,59,2,-s,-GEN1,-nsuf
114,60,1,"nak’ila",little.finger,n3
115,61,1,"yoł",be,v
116,61,2,-asi,-RES.PRT,-vsuf
117,62,1,kid,girl,n2
118,63,1,y-,II-,pref-
119,63,2,odi,do,v
120,63,3,-n,-PST.UNW,-vsuf
121,64,1,"yiła",DEM2.IISG.OBL,pron
122,64,2,-a,-ERG,-nsuf
123,65,1,kid,girl,n2
124,66,1,"neširu",evening,adv
125,66,2,-xay,-AD.ABL,-nsuf
126,67,1,"raɣi",veranda,n3
127,67,2,"-aɣor",-IN.VERS,-nsuf
128,68,1,y-,II-,pref-
129,68,2,oq,become,v
130,68,3,-a,-INF,-vsuf
131,69,1,gurow,except,post
132,70,1,y-,II-,pref-
133,70,2,egir,send,v
134,70,3,-x,-IPFV.CVB,-vsuf
135,71,1,zow,be.NPRS,v
136,71,2,-n,-PFV.CVB,-vsuf
137,71,3,-anu,-NEG,-vsuf
138,72,1,"neširu",evening,adv
139,72,2,-xay,-AD.ABL,-nsuf
140,73,1,"maħor",outside,adv
141,74,1,"ža",DEM1.SG,pron
142,75,1,y-,II-,pref-
143,75,2,oq,become,v
144,75,3,-run,-IMM.ANT.CVB,-vsuf
145,76,1,sadaq,all,adv
146,77,1,"šet’ur",around,adv
147,77,2,-tow,-EMPH,-suf
148,78,1,"gʷanɣizi",illuminate,comp
149,79,1,r-,IV-,pref-
150,79,2,oq,become,v
151,79,3,-x,-IPFV.CVB,-vsuf
152,80,1,zow,be.NPRS,v
153,80,2,-n,-PST.UNW,-vsuf
154,81,1,kid,girl,n2
155,82,1,y-,II-,pref-
156,82,2,"aq’ˤił",grow.up,v
157,82,3,-nosi,-ANT.CVB,-vsuf
158,83,1,"ʕuraw",many,adv
159,84,1,"ʕoloq",young.person,n1
160,84,2,-bi,-PL,-nsuf
161,85,1,b-,I.PL-,pref-
162,85,2,ay,come,v
163,85,3,-x,-IPFV.CVB,-vsuf
164,86,1,zow,be.NPRS,v
165,86,2,-n,-PST.UNW,-vsuf
166,87,1,"ža",DEM1.SG,pron
167,87,2,-n,-TOP,-suf
168,88,1,esir,ask,v
169,88,2,-n,-PST.UNW,-vsuf
170,89,1,amma,but,conj
171,90,1,eniw,mother,n2
172,91,1,razi,agree,comp
173,92,1,y-,II-,pref-
174,92,2,oq,become,v
175,92,3,-x,-IPFV.CVB,-vsuf
176,93,1,zow,be.NPRS,v
177,93,2,-n,-PFV.CVB,-vsuf
178,93,3,-anu,-NEG,-vsuf
179,94,1,"ža",DEM1.SG,pron
180,95,1,sida,one.OBL,num
181,95,2,-x,-AD.ESS,-nsuf
182,95,3,-kin,-even,-suf
183,96,1,y-,II-,pref-
184,96,2,egir,send,v
185,96,3,-ani,-MSD,-deriv
186,96,4,-x,-AD.ESS,-nsuf
187,97,1,sida,one.OBL,num
188,98,1,"maqˤi",far.away,adv
189,98,2,-zo,-ATTR.OBL,-suf
190,98,3,-ni,-DEF,-suf
191,99,1,"ʕaƛ",village,n3
192,99,2,-a,-IN.ESS,-nsuf
193,100,1,"bečedaw",wealthy,adj
194,101,1,"žek’u",man,n1
195,101,2,-s,-GEN1,-nsuf
196,102,1,"ɣudi",day,n4
197,102,2,"-ƛ’ay",-SUPER.ABL,-nsuf
198,103,1,"ɣudi",day,n4
199,103,2,"-ƛ’or",-SUPER.LAT,-nsuf
200,104,1,"ħalaq’",meager,adj
201,105,1,oq,become,v
202,105,2,-x,-IPFV.CVB,-vsuf
203,106,1,"uži",son,n1
204,107,1,"ik’i",go,v
205,107,2,-x,-IPFV.CVB,-vsuf
206,108,1,zow,be.NPRS,v
207,108,2,-n,-PST.UNW,-vsuf
208,109,1,eni-babiw,parents,n1pl
209,109,2,-a,-ERG,-nsuf
210,110,1,dice,how.much,pron
211,110,2,-gon,-CNTR,-suf
212,111,1,esir,ask,v
213,111,2,"-łin",-CNC.CVB,-vsuf
214,112,1,nesi,DEM1.ISG.OBL,pron
215,112,2,-a,-ERG,-nsuf
216,113,1,esi,tell,v
217,113,2,-x,-IPFV.CVB,-vsuf
218,114,1,zow,be.NPRS,v
219,114,2,-n,-PST.UNW,-vsuf
220,114,3,-anu,-NEG,-vsuf
221,115,1,"šida",why,pron
222,116,1,"ža",DEM1.SG,pron
223,117,1,"ħalaq’",meager,adj
224,118,1,oq,become,v
225,118,2,-x,-IPFV.CVB,-vsuf
226,119,1,"yoł",be,v
227,119,2,"-rułi",-MSD,-vsuf
228,120,1,nesi,DEM1.ISG.OBL,pron
229,121,1,"uži",boy,n1
230,121,2,-z,-GEN2,-nsuf
231,122,1,babiw,father,n1
232,122,2,-a,-ERG,-nsuf
233,123,1,"sidaquł",one.day,adv
234,124,1,"q’orol",widowed,adj
235,125,1,"ɣˤanabi",woman,n2
236,125,2,-n,-TOP,-suf
237,126,1,y-,II-,pref-
238,126,2,iqir,find,v
239,126,3,-n,-PFV.CVB,-vsuf
240,127,1,"neła",DEM1.IISG.OBL,pron
241,127,2,-q,-POSS.ESS,-nsuf
242,128,1,esi,tell,v
243,128,2,-n,-PST.UNW,-vsuf
244,129,1,hemedur,so,adv
245,130,1,"ɣudi",day,n4
246,130,2,"-ƛ’ay",-SUPER.ABL,-nsuf
247,131,1,"ɣudi",day,n4
248,131,2,"-ƛ’or",-SUPER.LAT,-nsuf
249,132,1,di,me,pron
250,132,2,-s,-GEN1,-nsuf
251,133,1,"uži",boy,n1
252,134,1,"ħalaq’",meager,adj
253,135,1,oq,become,v
254,135,2,-x,-IPFV.CVB,-vsuf
255,136,1,"ik’i",go,v
256,136,2,-x,-PRS,-vsuf
257,136,3,"-ƛin",-QUOT,-suf
258,137,1,"q’orol",widowed,adj
259,138,1,"ɣˤanabi",woman,n2
260,138,2,-a,-ERG,-nsuf
261,139,1,"eƛi",say,v
262,139,2,-n,-PST.UNW,-vsuf
263,140,1,mi,you,pron
264,141,1,di,me,pron
265,141,2,-r,-LAT,-nsuf
266,142,1,ukru,silver,n3
267,142,2,-s,-GEN1,-nsuf
268,143,1,"šit’u",plate,n3
269,144,1,"neƛ",give,v
270,144,2,"-näy",-CND.CVB,-vsuf
271,145,1,di,me,pron
272,146,1,iyr,find.out,v
273,146,2,-an,-FUT.DEF,-vsuf
274,147,1,"ža",DEM1.SG,pron
275,148,1,"šida",why,pron
276,149,1,"ħalaq’",meager,adj
277,150,1,oq,become,v
278,150,2,-x,-IPFV.CVB,-vsuf
279,151,1,"yoł",be,v
280,151,2,"-rułi",-MSD,-vsuf
281,151,3,"-ƛin",-QUOT,-suf
282,152,1,"bečedaw",wealthy,adj
283,152,2,-ni,-DEF,-suf
284,153,1,"žek’u",man,n1
285,154,1,razi,agree,comp
286,155,1,oq,become,v
287,155,2,-n,-PST.UNW,-vsuf
288,156,1,"q’orolay",widow,n2
289,157,1,"uži",boy,n1
290,157,2,-z,-GEN2,-nsuf
291,158,1,idu,home,adv
292,158,2,-r,-LAT,-nsuf
293,158,3,-n,-and,-suf
294,159,1,y-,II-,pref-
295,159,2,"ik’i",go,v
296,159,3,-n,-PST.UNW,-vsuf
297,160,1,nesi,DEM1.ISG.OBL,pron
298,160,2,-r,-LAT,-nsuf
299,161,1,y-,II-,pref-
300,161,2,iy,know,v
301,161,3,"-č’ey",-NEG.PST.UNW,-vsuf
302,162,1,"neširu",at.night,adv
303,163,1,"ža",DEM1.SG,pron
304,164,1,kec,sleep,v
305,164,2,-xozo,-PRS.PRT.OBL,-vsuf
306,165,1,tax,bed,n4
307,165,2,"-ƛ",-SUB.ESS,-nsuf
308,165,3,-n,-TOP,-suf
309,166,1,y-,II-,pref-
310,166,2,"uqˤeł",hide,v
311,166,3,-n,-PST.UNW,-vsuf
312,167,1,"ʕenekizi",listen,comp
313,168,1,y-,II-,pref-
314,168,2,oq,become,v
315,168,3,-n,-PFV.CVB,-vsuf
316,169,1,y-,II-,pref-
317,169,2,"iči",be,v
318,169,3,-n,-PST.UNW,-vsuf
319,170,1,"uži",boy,n1
320,171,1,kec,sleep,v
321,171,2,-nosi,-ANT.CVB,-vsuf
322,172,1,nesi,DEM1.ISG.OBL,pron
323,172,2,-a,-ERG,-nsuf
324,173,1,"muši",breath,n3
325,173,2,-n,-and,-suf
326,174,1,kur,exhale,v
327,174,2,-n,-PFV.CVB,-vsuf
328,175,1,"neła",DEM1.IISG.OBL,pron
329,175,2,-r,-LAT,-nsuf
330,176,1,"eƛi",say,v
331,176,2,-x,-IPFV.CVB,-vsuf
332,177,1,teq,hear,v
333,177,2,-n,-PST.UNW,-vsuf
334,178,1,"hemeła",then,adv
335,179,1,"maqˤi",far.away,adv
336,179,2,-zo,-ATTR.OBL,-suf
337,180,1,"ʕaƛ",village,n3
338,180,2,-asi,-RES.PRT,-vsuf
339,181,1,di,me,pron
340,181,2,-r,-LAT,-nsuf
341,182,1,"moƛu",dream,n2
342,182,2,"-ł",-CONT.ESS,-nsuf
343,183,1,y-,II-,pref-
344,183,2,ukad,see,v
345,183,3,-ru,-PST.PRT,-vsuf
346,184,1,mesed,gold,n3
347,184,2,-s,-GEN1,-nsuf
348,185,1,"nak’ila",little.finger,n3
349,186,1,"yoł",be,v
350,186,2,-ru,-PST.PRT,-vsuf
351,186,3,-ni,-DEF,-suf
352,187,1,kid,girl,n2
353,188,1,y-,II-,pref-
354,188,2,iqi,get,v
355,188,3,"-č’i",-NEG.FUT,-vsuf
356,188,4,"-näy",-CND.CVB,-vsuf
357,189,1,di,me,pron
358,190,1,"anƛ’i",week,n4
359,190,2,"-q’az",-POSS.ESS.DIST(?),-nsuf
360,191,1,exu,die,v
361,191,2,"-ƛin",-QUOT,-suf
362,192,1,sasaqozox,early.morning,adv
363,193,1,"uži",boy,n1
364,193,2,-r,-LAT,-nsuf
365,193,3,-n,-TOP,-suf
366,194,1,y-,II-,pref-
367,194,2,iy,know,v
368,194,3,"-č’ey",-NEG.PST.UNW,-vsuf
369,195,1,"maħor",outside,adv
370,195,2,-n,-TOP,-suf
371,196,1,y-,II-,pref-
372,196,2,oq,become,v
373,196,3,-n,-PFV.CVB,-vsuf
374,197,1,"q’orol",widowed,adj
375,198,1,"uži",boy,n1
376,198,2,-z,-GEN2,-nsuf
377,199,1,babiw,father,n1
378,199,2,-q,-POSS.ESS,-nsuf
379,200,1,esi,tell,v
380,200,2,-n,-PFV.CVB,-vsuf
381,201,1,nesi,DEM1.ISG.OBL,pron
382,201,2,"-ƛ’",-SUPER.ESS,-nsuf
383,202,1,"yoł",be,v
384,202,2,-ru,-PST.PRT,-vsuf
385,203,1,"q’ʷariłi",sadness,n4
386,203,2,"-łay",-CONT.ABL,-nsuf
387,204,1,"q’orol",widowed,adj
388,205,1,"ɣˤanabi",woman,n2
389,205,2,-r,-LAT,-nsuf
390,206,1,b-,III-,pref-
391,206,2,odi,do,v
392,206,3,-ru,-PST.PRT,-vsuf
393,207,1,"q’ut’i",agreement,n3
394,207,2,-xor,-AD.LAT,-nsuf
395,208,1,"šebin",thing,n4
396,208,2,-n,-TOP,-suf
397,209,1,"teƛ",give,v
398,209,2,-n,-PFV.CVB,-vsuf
399,210,1,y-,II-,pref-
400,210,2,egir,send,v
401,210,3,-n,-PST.UNW,-vsuf
402,211,1,xizorzo,future.OBL,adj
403,212,1,"ɣudi",day,n4
404,212,2,-bi,-PL,-nsuf
405,212,3,"-ł",-CONT.ESS,-nsuf
406,213,1,eni-obiw,parents,n1pl
407,214,1,"ža",DEM1.SG,pron
408,215,1,kid,girl,n2
409,215,2,-n,-TOP,-suf
410,216,1,"k’edi",search,v
411,216,2,-n,-PFV.CVB,-vsuf
412,217,1,"maħor",outside,adv
413,218,1,b-,I.PL-,pref-
414,218,2,oq,become,v
415,218,3,-n,-PST.UNW,-vsuf
416,219,1,b-,I.PL-,pref-
417,219,2,"ik’i",go,v
418,219,3,-n,-PST.UNW,-vsuf
419,220,1,"žedu",DEM1.IPL.OBL,pron
420,221,1,mesed,gold,n3
421,221,2,-s,-GEN1,-nsuf
422,222,1,"nak’ila",little.finger,n3
423,223,1,"yoł",be,v
424,223,2,-ru,-PST.PRT,-vsuf
425,223,3,-ni,-DEF,-suf
426,224,1,kid,girl,n2
427,224,2,-z,-GEN2,-nsuf
428,225,1,eniw,mother,n2
429,225,2,-der,-APUD.LAT,-nsuf
430,226,1,b-,I.PL-,pref-
431,226,2,ay,come,v
432,226,3,-n,-PST.UNW,-vsuf
433,227,1,"k’emot’",wooden.case,n2
434,227,2,-a,-IN.ESS,-nsuf
435,228,1,kid,girl,n2
436,228,2,-n,-TOP,-suf
437,229,1,y-,II-,pref-
438,229,2,"uqˤek’",shut,v
439,229,3,-n,-PFV.CVB,-vsuf
440,230,1,y-,II-,pref-
441,230,2,"iči",be,v
442,230,3,-n,-PFV.CVB,-vsuf
443,231,1,zow,be.NPRS,v
444,231,2,-n,-PST.UNW,-vsuf
445,232,1,"neła",DEM1.IISG.OBL,pron
446,232,2,-s,-GEN1,-nsuf
447,233,1,eniw,mother,n2
448,234,1,"xizaɣor",finally,adv
449,235,1,esiw,brother,n1
450,235,2,-z,-GEN2,-nsuf
451,236,1,kid,girl,n2
452,236,2,-a,-ERG,-nsuf
453,237,1,"yiła",DEM2.IISG.OBL,pron
454,237,2,-qor,-POSS.LAT,-nsuf
455,238,1,"eƛi",say,v
456,238,2,-n,-PST.UNW,-vsuf
457,239,1,yisi,DEM2.ISG.OBL,pron
458,239,2,"-q’ay",-EQU2,-nsuf
459,240,1,igu,rich,adj
460,240,2,-n,-and,-suf
461,241,1,"bečedaw",wealthy,adj
462,241,2,-n,-and,-suf
463,242,1,mi,you,pron
464,242,2,-r,-LAT,-nsuf
465,243,1,"uži",boy,n1
466,244,1,iqi,get,v
467,244,2,"-č’i",-NEG.FUT,-vsuf
468,245,1,kid,daughter,n2
469,246,1,xediw,husband,n1
470,246,2,-x,-AD.ESS,-nsuf
471,247,1,y-,II-,pref-
472,247,2,egir,send,v
473,247,3,"-č’ey",-NEG.PST.UNW,-vsuf
474,248,1,mi,you,pron
475,248,2,-n,-TOP,-suf
476,249,1,y-,II-,pref-
477,249,2,"ok’eł",escape,v
478,249,3,"-č’i",-NEG.FUT,-vsuf
479,249,4,"-ƛin",-QUOT,-suf
480,250,1,"xizaɣor",finally,adv
481,251,1,berten,marriage,n3
482,251,2,-n,-TOP,-suf
483,252,1,b-,I.PL-,pref-
484,252,2,odi,do,v
485,252,3,-n,-PFV.CVB,-vsuf
486,253,1,kid,girl,n2
487,254,1,"bečedaw",wealthy,adj
488,254,2,-ni,-DEF,-suf
489,255,1,"žek’u",man,n1
490,255,2,-s,-GEN1,-nsuf
491,256,1,"uži",son,n1
492,256,2,-x,-AD.ESS,-nsuf
493,257,1,y-,II-,pref-
494,257,2,egir,send,v
495,257,3,-n,-PST.UNW,-vsuf
496,258,1,"boƛƛ’o",middle,adv
497,259,1,zaman,time,n3
498,260,1,b-,III-,pref-
499,260,2,"ik’i",go,v
500,260,3,-nosi,-ANT.CVB,-vsuf
501,261,1,kid,girl,n2
502,261,2,-a,-ERG,-nsuf
503,262,1,"neła",DEM1.IISG.OBL,pron
504,262,2,-a,-ERG,-nsuf
505,263,1,"neła",DEM1.IISG.OBL,pron
506,263,2,"-daɣor",-APUD.VERS,-nsuf
507,264,1,"eniw  y-",motherII-,"n2    pref-"
508,264,2,"iži",lead,v
509,264,3,-n,-PST.UNW,-vsuf
510,265,1,"neła",DEM1.IISG.OBL,pron
511,265,2,"-ƛ’ay",-SUPER.ABL,-nsuf
512,266,1,soder,after,post
513,267,1,"ža",DEM1.SG,pron
514,268,1,"ɣˤanabi",woman,n2
515,269,1,xediw,husband,n1
516,269,2,-z,-GEN2,-nsuf
517,270,1,zulmu,tyranny,n3
518,270,2,-qay,-POSS.ABL,-nsuf
519,270,3,-n,-and,-suf
520,271,1,y-,II-,pref-
521,271,2,"ok’",beat,v
522,271,3,"-ł",-POT,-vsuf
523,271,4,-n,-PFV.CVB,-vsuf
524,272,1,Allah,God,n1
525,272,2,-zo,-ATTR.OBL,-suf
526,273,1,"ašuni",belt,n3
527,273,2,-z,-GEN2,-nsuf
528,274,1,kumak,help,n3
529,274,2,"-ƛaza",-SUB.VERS,-nsuf
530,275,1,"raħat",recreation,n3
531,275,2,"-ƛ’",-SUPER.ESS,-nsuf
532,276,1,zow,be.NPRS,v
533,276,2,-n,-PST.UNW,-vsuf
534,277,1,zow,be.NPRS,v
535,277,2,-n,-PFV.CVB,-vsuf
536,277,3,"-ƛax",-QUOT,-suf
537,278,1,zow,be.NPRS,v
538,278,2,-n,-PFV.CVB,-vsuf
539,279,1,anu,be.NEG,v
540,279,2,"-ƛax",-QUOT,-suf
541,280,1,sis,one,num
542,281,1,"ɣˤanabi",woman,n2
543,282,1,"neła",DEM1.IISG.OBL,pron
544,282,2,-a,-ERG,-nsuf
545,283,1,"eƛni",winter,n2
546,284,1,netin,always,adv
547,284,2,-tow,-EMPH,-suf
548,285,1,"ʕaƛ",village,n3
549,285,2,-xay,-AD.ABL,-nsuf
550,286,1,"maqˤi",far.away,adv
551,287,1,qun,farmstead,n4
552,287,2,-x,-AD.ESS,-nsuf
553,288,1,y-,II-,pref-
554,288,2,"oɣ",spend.time,v
555,288,3,-x,-IPFV.CVB,-vsuf
556,289,1,zow,be.NPRS,v
557,289,2,-n,-PST.UNW,-vsuf
558,290,1,sida,one.OBL,num
559,291,1,qu,day,n4
560,291,2,"-ł",-CONT.ESS,-nsuf
561,292,1,"eƛni",winter,n2
562,292,2,-q,-POSS.ESS,-nsuf
563,293,1,y-,II-,pref-
564,293,2,"aq’ˤu",much,adv
565,294,1,"žek’u",man,n1
566,295,1,"maħor",outside,adv
567,296,1,oq,become,v
568,296,2,"-ł",-POT,-vsuf
569,296,3,-xanuzo,-NEG.PRS.PRT.OBL,-vsuf
570,297,1,"ħalał",with.difficulties,adv
571,298,1,isi,snow,n2
572,299,1,y-,II-,pref-
573,299,2,ay,come,v
574,299,3,-n,-PST.UNW,-vsuf
575,300,1,"neširu",at.night,adv
576,301,1,"maħor",outside,adv
577,302,1,y-,II-,pref-
578,302,2,oq,become,v
579,302,3,"-ƛ’oräy",-SIM.CVB,-vsuf
580,303,1,didiw,which,pron
581,303,2,"-ƛa",-INDEF,-nsuf
582,304,1,"ła",who.OBL,pron
583,304,2,-s,-GEN1,-nsuf
584,305,1,"yoł",be,v
585,305,2,-ru,-PST.PRT,-vsuf
586,306,1,r-,IV-,pref-
587,306,2,iy,know,v
588,306,3,-xanusi,-NEG.PRS.PRT,-vsuf
589,307,1,r-,IV-,pref-
590,307,2,"iłe",as,conj
591,308,1,"qˤaƛu-quy",noise,n4
592,309,1,teq,hear,v
593,309,2,-n,-PST.UNW,-vsuf
594,310,1,dahaw,a.little,adv
595,311,1,"aħya",ear,n4
596,312,1,kur,spread.out,v
597,312,2,-n,-PFV.CVB,-vsuf
598,313,1,y-,II-,pref-
599,313,2,"iči",be,v
600,313,3,-nosi,-ANT.CVB,-vsuf
601,314,1,"yiła",DEM2.IISG.OBL,pron
602,314,2,-r,-LAT,-nsuf
603,315,1,r-,IV-,pref-
604,315,2,iy,know,v
605,315,3,-n,-PST.UNW,-vsuf
606,316,1,"ža",DEM1.SG,pron
607,317,1,ciq,forest,n4
608,317,2,-z,-GEN2,-nsuf
609,318,1,posu,cattle,n4
610,318,2,-s,-GEN1,-nsuf
611,319,1,"qˤaƛu-quy",noise,n4
612,320,1,"yoł",be,v
613,320,2,"-rułi",-MSD,-vsuf
614,321,1,sasaq,in.the.morning,adv
615,322,1,"maħor",outside,adv
616,323,1,y-,II-,pref-
617,323,2,oq,become,v
618,323,3,"-zaƛ’or",-POST.CVB,-vsuf
619,324,1,"yiła",DEM2.IISG.OBL,pron
620,324,2,-s,-GEN1,-nsuf
621,325,1,"ɣˤutku",house,n4
622,326,1,ciq,forest,n4
623,326,2,-z,-GEN2,-nsuf
624,327,1,posu,cattle,n4
625,327,2,-a,-ERG,-nsuf
626,328,1,"šet’u",around,post
627,329,1,r-,IV-,pref-
628,329,2,utir,gather,v
629,329,3,-asi,-RES.PRT,-vsuf
630,330,1,r-,IV-,pref-
631,330,2,esu,appear,v
632,330,3,"-zaƛ’",-CSL.CVB,-vsuf
633,331,1,"neła",DEM1.IISG.OBL,pron
634,331,2,-a,-ERG,-nsuf
635,332,1,nasin,all,adj
636,333,1,"žedu",DEM1.IPL,pron
637,334,1,"tatanił",warmthen.oneself,v
638,334,2,-ani,-MSD,-deriv
639,334,3,-x,-AD.ESS,-nsuf
640,335,1,idu,home,adv
641,335,2,"-ɣor",-IN.ALL,-nsuf
642,336,1,r-,IV-,pref-
643,336,2,egir,send,v
644,336,3,-n,-PST.UNW,-vsuf
645,337,1,"boc’a",wolf.PL,n3pl
646,337,2,-n,-and,-suf
647,338,1,zey,bear,n3
648,338,2,-bi,-PL,-nsuf
649,338,3,-n,-and,-suf
650,339,1,"ɣuro",cows,n4
651,340,1,"yoł",be,v
652,340,2,-za,-LCV.CVB,-vsuf
653,341,1,"reču",cattle-shed,n2
654,341,2,"-ƛ",-SUB.ESS,-nsuf
655,342,1,"aɣˤni",cowshed,n4
656,342,2,-a,-IN.ESS,-nsuf
657,343,1,"teł",inside,adv
658,344,1,r-,IV-,pref-
659,344,2,"iši",drive.in,v
660,344,3,-n,-PST.UNW,-vsuf
661,345,1,"aɣi",bird,n3
662,345,2,-bi,-PL,-nsuf
663,346,1,giri,pole,n4
664,346,2,-bi,-PL,-nsuf
665,346,3,-n,-TOP,-suf
666,347,1,kur,erect,v
667,347,2,-n,-PFV.CVB,-vsuf
668,348,1,idu,home,adv
669,348,2,-tow,-EMPH,-suf
670,349,1,xeci,leave,v
671,349,2,-n,-PST.UNW,-vsuf
672,350,1,"bełi",wild.goat,n3
673,350,2,-s,-GEN1,-nsuf
674,351,1,"čan",she-goat,n3
675,351,2,-bi,-PL,-nsuf
676,351,3,-n,-and,-suf
677,352,1,reso,roe,n3
678,352,2,-bi,-PL,-nsuf
679,352,3,-n,-and,-suf
680,353,1,"čolow",straw,n4
681,354,1,"yoł",be,v
682,354,2,-za,-LCV,-vsuf
683,355,1,"hiɣu",hayloft,n3
684,355,2,-ar,-IN.LAT,-nsuf
685,356,1,r-,IV-,pref-
686,356,2,egir,send,v
687,356,3,-n,-PST.UNW,-vsuf
688,357,1,sida,one.OBL,num
689,358,1,qu,day,n4
690,358,2,"-ł",-CONT.ESS,-nsuf
691,359,1,"łi",water,n4
692,359,2,"-ƛ’or",-SUPER.LAT,-nsuf
693,360,1,gulu,horse,n3
694,360,2,-n,-TOP,-suf
695,361,1,b-,III-,pref-
696,361,2,"iži",lead,v
697,361,3,-n,-PFV.CVB,-vsuf
698,362,1,xizor,back,adv
699,363,1,y-,II-,pref-
700,363,2,uti,turn.back,v
701,363,3,-n,-PST.UNW,-vsuf
702,364,1,yedu,DEM2.IISG,pron
703,365,1,y-,II-,pref-
704,365,2,ay,come,v
705,365,3,"-zaƛ’or",-POST.CVB,-vsuf
706,366,1,nasin,all,adj
707,367,1,"yiła",DEM2.IISG.OBL,pron
708,367,2,-s,-GEN1,-nsuf
709,368,1,"ɣuro",cows,n4
710,369,1,zey,bear,n3
711,369,2,-bi,-PL,-nsuf
712,369,3,-a,-ERG,-nsuf
713,369,4,-n,-and,-suf
