id,to_Word_id,Position,Value,Gloss,Part_of_Speech
1,1,1,esi,tell,v
2,1,2,-n,-PFV.CVB,-vsuf
3,2,1,"šebi",what,pron
4,3,1,xeci,leave,v
5,3,2,-n,-PFV.CVB,-vsuf
6,4,1,"šebi",what,pron
7,5,1,zow,be.NPRS,v
8,5,2,-n,-PST.UNW,-vsuf
9,5,3,"-ƛax",-QUOT,-suf
10,6,1,sis,one,num
11,7,1,"ɣˤana-xediw",married.couple,n1pl
12,8,1,xediw,husband,n1
13,9,1,"qˤač’aw",rough,adj
14,10,1,qizan,family,n3
15,10,2,-s,-GEN1,-nsuf
16,11,1,"t’alam",care,n3
17,12,1,b-,III-,pref-
18,12,2,odi,do,v
19,12,3,-xanusi,-NEG.PRS.PRT,-vsuf
20,13,1,"žek’u",man,n1
21,14,1,zow,be.NPRS,v
22,14,2,-n,-PST.UNW,-vsuf
23,15,1,ax,belly,n4
24,15,2,-a,-IN.ESS,-nsuf
25,16,1,xexbi,children,n3pl
26,17,1,r-,III.PL-,pref-
27,17,2,"isk’a",keep,v
28,17,3,"-č’i",-NEG.FUT.CVB,-vsuf
29,17,4,-nir,-PURP.CVB,-vsuf
30,18,1,yisi,DEM2.ISG.OBL,pron
31,18,2,-a,-ERG,-nsuf
32,19,1,baru,wife,n2
33,20,1,qaci,firewood,n4
34,20,2,-s,-GEN1,-nsuf
35,21,1,"muɣ",bundle,n3
36,22,1,b-,III-,pref-
37,22,2,ow,bring,v
38,22,3,-a,-INF,-vsuf
39,23,1,ciq,forest,n4
40,23,2,"-aɣor",-IN.VERS,-nsuf
41,23,3,"-t’a",-DISTR,-suf
42,24,1,y-,II-,pref-
43,24,2,egir,send,v
44,24,3,-x,-IPFV.CVB,-vsuf
45,25,1,zow,be.NPRS,v
46,25,2,-n,-PST.UNW,-vsuf
47,26,1,"sidaquł",one.day,adv
48,27,1,"yiła",DEM2.IISG.OBL,pron
49,27,2,-r,-LAT,-nsuf
50,28,1,ciq,forest,n4
51,28,2,-q,-POSS.ESS,-nsuf
52,29,1,Allah,God,n1
53,29,2,-s,-GEN1,-nsuf
54,30,1,"ašuni",belt,n3
55,31,1,b-,III-,pref-
56,31,2,ukad,see,v
57,31,3,-n,-PST.UNW,-vsuf
58,32,1,"yiła",DEM2.IISG.OBL,pron
59,32,2,-a,-ERG,-nsuf
60,33,1,"neła",DEM1.IISG.OBL,pron
61,33,2,-q,-POSS.ESS,-nsuf
62,34,1,"ašuni",belt,n3
63,34,2,-q,-POSS.ESS,-nsuf
64,35,1,harizi,request,comp
65,36,1,r-,IV-,pref-
66,36,2,odi,do,v
67,36,3,-n,-PST.UNW,-vsuf
68,37,1,di,me,pron
69,37,2,-r,-LAT,-nsuf
70,38,1,ukru,silver,n3
71,38,2,-s,-GEN1,-nsuf
